Index,Model,Percentile,Region,Scenario,TimeAggregate,Year
2,4,5,5,rcp45,DJF,2081
2,4,5,5,rcp45,DJF,2082
2,4,5,5,rcp45,DJF,2083
2,4,5,5,rcp45,DJF,2088
2,4,5,5,rcp45,DJF,2089
2,4,5,5,rcp45,DJF,2091
2,4,5,5,rcp45,DJF,2092
2,4,5,5,rcp45,DJF,2095
2,4,5,5,rcp45,DJF,2097
2,5,90,5,rcp45,DJF,1975
2,5,90,5,rcp45,DJF,1978
2,5,90,5,rcp45,DJF,1984
2,5,90,5,rcp45,DJF,2005
2,5,90,5,rcp45,DJF,2010
2,5,90,5,rcp45,DJF,2027
2,5,90,5,rcp45,DJF,2047
2,5,95,5,rcp45,DJF,1975
2,5,95,5,rcp45,DJF,1978
2,5,95,5,rcp45,DJF,1984
2,5,95,5,rcp45,DJF,2005
2,5,95,5,rcp45,DJF,2010
2,5,95,5,rcp45,DJF,2027
2,5,10,5,rcp45,DJF,1974
2,5,10,5,rcp45,DJF,1981
2,5,10,5,rcp45,DJF,1991
2,5,10,5,rcp45,DJF,1998
2,5,10,5,rcp45,DJF,2009
2,5,10,5,rcp45,DJF,2011
2,5,10,5,rcp45,DJF,2017
2,5,10,5,rcp45,DJF,2022
2,5,10,5,rcp45,DJF,2025
2,5,10,5,rcp45,DJF,2029
2,5,10,5,rcp45,DJF,2030
2,5,10,5,rcp45,DJF,2032
2,5,10,5,rcp45,DJF,2034
2,5,10,5,rcp45,DJF,2035
2,5,10,5,rcp45,DJF,2039
2,5,10,5,rcp45,DJF,2040
2,5,10,5,rcp45,DJF,2043
2,5,10,5,rcp45,DJF,2045
2,5,10,5,rcp45,DJF,2046
2,5,10,5,rcp45,DJF,2050
2,5,10,5,rcp45,DJF,2053
2,5,10,5,rcp45,DJF,2055
2,5,10,5,rcp45,DJF,2056
2,5,10,5,rcp45,DJF,2058
2,5,10,5,rcp45,DJF,2063
2,5,10,5,rcp45,DJF,2065
2,5,10,5,rcp45,DJF,2066
2,5,10,5,rcp45,DJF,2067
2,5,10,5,rcp45,DJF,2070
2,5,10,5,rcp45,DJF,2071
2,5,10,5,rcp45,DJF,2074
2,5,10,5,rcp45,DJF,2076
2,5,10,5,rcp45,DJF,2077
2,5,10,5,rcp45,DJF,2078
2,5,10,5,rcp45,DJF,2083
2,5,10,5,rcp45,DJF,2087
2,5,10,5,rcp45,DJF,2089
2,5,10,5,rcp45,DJF,2090
2,5,10,5,rcp45,DJF,2091
2,5,10,5,rcp45,DJF,2092
2,5,10,5,rcp45,DJF,2095
2,5,10,5,rcp45,DJF,2096
2,5,10,5,rcp45,DJF,2097
