Index,Model,Percentile,Region,Scenario,Season,Value,Year
10,4,10,14,rcp45,DJF,-2.27991466522,1988
10,4,10,14,rcp45,DJF,-1.75641040802,1989
10,4,10,14,rcp45,DJF,-4.83333330154,1992
10,4,10,14,rcp45,DJF,-4.92521362305,1994
10,4,10,14,rcp45,DJF,-3.00641040802,1996
10,4,10,14,rcp45,DJF,-0.113247680664,1998
10,4,10,14,rcp45,DJF,-2.89529924393,2000
10,4,10,14,rcp45,DJF,-0.568376350403,2009
10,4,10,14,rcp45,DJF,-3.6132481575,2011
10,4,10,14,rcp45,DJF,-4.69017105103,2014
10,4,10,14,rcp45,DJF,-2.67094020844,2018
10,4,10,14,rcp45,DJF,-1.07264976501,2019
10,4,10,14,rcp45,DJF,-1.1132481575,2021
10,4,10,14,rcp45,DJF,-3.8183763504,2023
10,4,10,14,rcp45,DJF,-0.239316749573,2025
10,4,10,14,rcp45,DJF,-2.44230775833,2026
10,4,10,14,rcp45,DJF,-3.37606840134,2029
10,4,10,14,rcp45,DJF,-1.89743595123,2030
10,4,10,14,rcp45,DJF,-2.92307691574,2032
10,4,10,14,rcp45,DJF,-3.16880350113,2039
10,4,10,14,rcp45,DJF,-1.02564125061,2040
10,4,10,14,rcp45,DJF,-0.0106838226318,2042
10,4,10,14,rcp45,DJF,-1.4316242218,2043
10,4,10,14,rcp45,DJF,-1.57478647232,2044
10,4,10,14,rcp45,DJF,-0.675213623047,2045
10,4,10,14,rcp45,DJF,-0.0961540222168,2047
10,4,10,14,rcp45,DJF,-4.75427370071,2048
10,4,10,14,rcp45,DJF,-0.286325263977,2049
10,4,10,14,rcp45,DJF,-0.091880607605,2052
10,4,10,14,rcp45,DJF,-2.57692317963,2055
10,4,10,14,rcp45,DJF,-1.51495723724,2056
10,4,10,14,rcp45,DJF,-4.45726518631,2059
10,4,10,14,rcp45,DJF,-1.03846149445,2062
10,4,10,14,rcp45,DJF,-3.24358968735,2063
10,4,10,14,rcp45,DJF,-1.68589763641,2065
10,4,10,14,rcp45,DJF,-0.790598678589,2068
10,4,10,14,rcp45,DJF,-2.5683763504,2070
10,4,10,14,rcp45,DJF,-3.4529917717,2073
10,4,10,14,rcp45,DJF,-4.77991466522,2074
10,4,10,14,rcp45,DJF,-3.79700880051,2075
10,4,10,14,rcp45,DJF,-0.16452960968,2076
10,4,10,14,rcp45,DJF,-1.43589763641,2077
10,4,10,14,rcp45,DJF,-1.49358968735,2078
10,4,10,14,rcp45,DJF,-3.83547048569,2083
10,4,10,14,rcp45,DJF,-1.0448720932,2090
10,4,10,14,rcp45,DJF,-2.22863273621,2091
10,4,10,14,rcp45,DJF,-3.16453008652,2097
10,4,10,14,rcp45,DJF,-2.0897439003,2098
10,4,10,14,rcp45,DJF,-0.955128479004,2099
10,4,10,14,rcp45,DJF,-2.01923112869,2100
10,5,90,14,rcp45,DJF,7.4363243103,1998
10,5,90,14,rcp45,DJF,4.60726470947,2017
10,5,90,14,rcp45,DJF,3.54957313538,2019
10,5,90,14,rcp45,DJF,1.33803482056,2048
10,5,90,14,rcp45,DJF,6.66709442139,2070
10,5,90,14,rcp45,DJF,0.564530563354,2086
10,5,90,14,rcp45,DJF,1.60940093994,2092
10,5,10,14,rcp45,DJF,-2.43589763641,1973
10,5,10,14,rcp45,DJF,-1.71581201553,1975
10,5,10,14,rcp45,DJF,-0.711539077759,1984
10,5,10,14,rcp45,DJF,-2.92094020844,1988
10,5,10,14,rcp45,DJF,-1.08119659424,1991
10,5,10,14,rcp45,DJF,-2.60470085144,1995
10,5,10,14,rcp45,DJF,-3.59401731491,2001
10,5,10,14,rcp45,DJF,-2.2500002861,2003
